premise,hypothesis,label,explanation,label_name
A man and woman sleeping on a bench.,The exhausted homeless people take a nap in the park.,1,It is not implied that the man and woman sleeping are homeless.,neutral
The baby is wearing a red shirt and walking in a plaza.,The baby is walking in a plaza.,0,The baby is walking in a plaza is a rephrasing of the baby is wearing a shirt and walking in a plaza.,entailment
A man in a white headband plays the drums at a concert.,The man playing the drums is wearing a white headband,1,every man is not at a concert.,neutral
A young boy looking through tree branches.,He doesn't want people to watch as he changes into a monkey.,2,The boy is just watching and one cannot predict what he want.,contradiction
A young person smoking a cigarette.,A cigarette smoker.,0,A young person shouldn't be a cigarette smoker,entailment
Two women and a man discuss notes in a classroom.,Three people are in a classroom.,0,two women and a man total three people.,entailment
A brown dog holding an object in its mouth is moving through snow-covered tall grass outdoors.,The brown dog is holding a stick in it's mouth.,0,The brown dog is holding a stick that is originally described as an object.,entailment
A man in an orange vest and a cap stands outside a ladies' bathroom.,A small girl is picking flowers.,2,There can be either a man or small girl.,contradiction
A person with a black cap looking at the water.,A man dropped is phone in the water.,1,People don't only look at water because they dropped their phone in the water.,neutral
a group of marchers walking down the street,A group of birds eat seeds off of the ground.,2,Marchers are not birds walking is not eating and streets are not the ground,contradiction
4 rescue workers sit in a bright orange rescue raft in the water.,There are rescue workers on the road.,2,The workers can not be on the road if they are on a raft in the water.,contradiction
The woman on the right is wearing a red scarf.,The woman on the right is wearing a turquoise scarf.,2,red is not turquoise,contradiction
A dog running through snow.,an animal in the snow,0,A dog is an animal.,entailment
A brown dog with its mouth open and ears in the air running on a grassy surface.,A dog is running outside,0,The dog is on a grassy surface so he must be outside.,entailment
A group of people wearing floral shirts playing in a band outside.,People are playing in a band.,0,Playing a band can be done outside.,entailment
A woman is barbecuing tasty looking food in the park.,A man microwaves his tv dinner.,2,One refers to a woman while  the other a man. One refers to barbecuing while the other microwaving. Tv  dinners  are not usually tasty looking food. Microwaving is usually done inside not the park.,contradiction
An old man rests his arms on playground equipment while a young boy plays in the background.,A man watches a boy playing at the park.,1,We can't know that the man is watching the boy.,neutral
Two soccer players from opposing teams jumped into the air.,Two soccer players from opposing teams jumped into the air,0,they both state they jumped into the air,entailment
A group of kite surfers are busy surfing some waves.,The kite surfers are participating in a race.,1,Just because the kite surfers are in a group does not mean that it is a race.,neutral
A young person in a gray t-shirt stands beside an older woman handing out a slice of watermelon.,A old person is standing beside an old woman.,2,A person is either young or old.,contradiction
A girl and her cat are curious to see how this airplane is built with legos.,A girl builds with legos.,1,A re curious does not imply builds.,neutral
Two men in black outfits have backpacks.,Two people are each carrying something.,0,Having a backpack means you are carrying something.,entailment
Two young boys are shaking hands outside.,Two boys have just met each other,1,Two boys may shake hands even if they met long ago,neutral
A guy snowboarding down a large mountain.,The mountain is in Yosemite,1,Mountain is seen not in Yosemite only,neutral
Ethnic teen sitting and holding his skateboard.,The teens are sleep.,2,Teen refers to singular while teens is plural. They can either be sitting or s at sleep but the two are not the same.,contradiction
a woman is wearing sunglasses and smiling.,A women is posing at camera.,1,Just because the woman is smiling does not mean she is posing at a camera.,neutral
A woman pulling a wagon with a girl in it across a frozen lake,A woman is pushing a swing.,2,Either the woman is pulling a wagon or pushing a swing. She cannot physically do both simultaneously.,contradiction
A boy in a blue shirt is posing in front of an igloo type building with a person dangling from a rope above the building.,A boy is standing in an igloo.,2,Either the boy is standing inside an igloo or posing in front of said igloo. He cannot do both simultaneously.,contradiction
